GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatShortMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortList,717,0,2,0,63,0,42,0,41,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongSet,42,0,0,0,6,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedFloatFloatMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,SynchronizedCollection,246,0,0,0,21,0,16,0,16,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedRandomAccessLongList,38,0,0,0,8,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntIntMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharIntMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongByteMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharByteMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedShortCollection,418,0,2,0,37,0,28,0,27,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleCollection,418,0,2,0,37,0,28,0,27,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedCharSet,42,0,0,0,6,0,4,0,4,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedDoubleDoubleMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedLongShortMap,564,0,6,0,57,0,37,0,34,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedObjectDoubleMap,560,0,6,0,56,0,36,0,33,0
trove-3.0.3,gnu.trove.decorator,TObjectShortMapDecorator,154,0,14,0,36,0,24,0,17,0
trove-3.0.3,gnu.trove.decorator,TIntObjectMapDecorator.1.new Iterator() {...},0,54,0,2,0,10,0,5,0,4
trove-3.0.3,gnu.trove.decorator,TShortObjectMapDecorator.1.new Iterator() {...},54,0,2,0,10,0,5,0,4,0
trove-3.0.3,gnu.trove.decorator,TCharDoubleMapDecorator.1.1.new Map.Entry() {...},63,0,6,0,8,0,9,0,6,0
trove-3.0.3,gnu.trove.decorator,TShortDoubleMapDecorator.1.new Iterator() {...},70,0,4,0,11,0,6,0,4,0
trove-3.0.3,gnu.trove.decorator,TLongShortMapDecorator,228,0,32,0,57,0,35,0,19,0
trove-3.0.3,gnu.trove.decorator,TCharSetDecorator.new Iterator() {...},25,0,0,0,6,0,4,0,4,0
trove-3.0.3,gnu.trove.decorator,TIntCharMapDecorator.1.1.new Map.Entry() {...},63,0,6,0,8,0,9,0,6,0
trove-3.0.3,gnu.trove.decorator,TIntShortMapDecorator.1.1.new Map.Entry() {...},63,0,6,0,8,0,9,0,6,0
trove-3.0.3,gnu.trove.decorator,TDoubleSetDecorator,144,0,24,0,38,0,25,0,13,0
trove-3.0.3,gnu.trove.decorator,TCharFloatMapDecorator.new AbstractSet() {...},85,0,8,0,19,0,13,0,9,0
trove-3.0.3,gnu.trove.decorator,TObjectByteMapDecorator.new AbstractSet() {...},81,0,8,0,19,0,13,0,9,0
trove-3.0.3,gnu.trove.decorator,TObjectIntMapDecorator.1.new Iterator() {...},0,43,0,0,0,9,0,4,0,4
trove-3.0.3,gnu.trove.decorator,TLongDoubleMapDecorator.1.new Iterator() {...},71,0,4,0,11,0,6,0,4,0
trove-3.0.3,gnu.trove.decorator,TCharIntMapDecorator,228,0,32,0,57,0,35,0,19,0
trove-3.0.3,gnu.trove.decorator,TFloatObjectMapDecorator.new AbstractSet() {...},85,0,8,0,19,0,13,0,9,0
trove-3.0.3,gnu.trove.decorator,TDoubleDoubleMapDecorator.1.1.new Map.Entry() {...},63,0,6,0,8,0,9,0,6,0
trove-3.0.3,gnu.trove.decorator,TFloatObjectMapDecorator.1.1.new Map.Entry() {...},63,0,6,0,8,0,9,0,6,0
trove-3.0.3,gnu.trove.decorator,TObjectDoubleMapDecorator.1.1.new Map.Entry() {...},63,0,6,0,8,0,9,0,6,0
trove-3.0.3,gnu.trove.decorator,TCharShortMapDecorator.new AbstractSet() {...},85,0,8,0,19,0,13,0,9,0
trove-3.0.3,gnu.trove.decorator,TObjectShortMapDecorator.1.1.new Map.Entry() {...},63,0,6,0,8,0,9,0,6,0
trove-3.0.3,gnu.trove.decorator,TShortIntMapDecorator.new AbstractSet() {...},85,0,8,0,19,0,13,0,9,0
trove-3.0.3,gnu.trove.decorator,TDoubleDoubleMapDecorator.1.new Iterator() {...},71,0,4,0,11,0,6,0,4,0
trove-3.0.3,gnu.trove.decorator,TShortLongMapDecorator.new AbstractSet() {...},85,0,8,0,19,0,13,0,9,0
trove-3.0.3,gnu.trove.decorator,TFloatIntMapDecorator,228,0,32,0,57,0,35,0,19,0
